start_station_name
MLK Jr Dr & 29th St
Sedgwick St & Webster Ave
Canal St & Harrison St
Clark St & Grace St
Halsted St & 35th St
Public Rack - Paxton Ave & 79th St
Public Rack - Milwaukee Ave & Addison St
Public Rack - Pratt Ave & Odell Ave
Public Rack - Mont Clare Ave & Higgins Ave
Public Rack - 63rd & Western Ave S
Public Rack - Cicero Ave & Cortland St - midblock
Public Rack - Mobile Ave & Archer Ave
Public Rack - Bryn Mawr Ave & Milwaukee Ave
Public Rack - William J Onahan Public School
Central Park & Augusta Blvd
Public Rack - Monticello & Lawrence
Public Rack - Norwood Park Station
Public Rack - Cicero & 64th
Public Rack - Marquette Ave & 83rd St
Public Rack - Spaulding Ave & Bryn Mawr Ave
Public Rack - Christiana Ave & Archer Ave
Public Rack - Haft Ave & Milwaukee Ave
Public Rack - Melvina & Foster
Public Rack - Lorel Ave & Grand Ave
Clark St & Drummond Pl
Halsted St & Wrightwood Ave
Financial Pl & Ida B Wells Dr
Loomis St & Lexington St
Public Rack - Oketo & Northwest Hwy
Public Rack - Milwaukee Ave & Waveland Ave
Fairfield Ave & 44th St
Public Rack - Langley Ave & Oakwood Blvd
Mulligan Ave & Wellington Ave
Kedzie Ave & 66th Pl
Eggleston Ave & 69th St
Long Ave & North Ave
Public Rack - Lockwood Ave & Diversey Ave
Public Rack - Delphina & Foster
Cottage Grove Ave & 78th St
Halsted St & 78th St
Vernon Ave & 75th St
Public Rack - Forest Glen & Peterson
Ellis Ave & 58th St
N Sheffield Ave & W Wellington Ave
Bernard St & Elston Ave
Cottage Grove Ave & 83rd St
Albany Ave & 26th St
Central Ave & Harrison St
Public Rack - Austin Ave & Roscoe St
Cottage Grove Ave & 47th St
Greenwood Ave & 79th St
Public Rack - Winona St & Elston Ave
Oak Park & Wellington
Franklin St & Monroe St
Michigan Ave & Jackson Blvd
State St & Randolph St
Stave St & Armitage Ave
Public Rack - Cicero Ave & Wrightwood Ave
Public Rack - Christiana Ave & Belmont Ave
California Ave & North Ave
Kostner Ave & Lake St
Damen Ave & Charleston St
Rush St & Cedar St
Public Rack - Lamon Ave & Archer Ave
Seeley Ave & Garfield Blvd
Stockton Dr & Wrightwood Ave
Wells St & Walton St
Rockwell St & Fletcher St
Public Rack - Hyde Park Blvd & 53rd St
Public Rack - Bryn Mawr Ave & Spaulding Ave
Public Rack - Central Park & Peterson
Constance Ave & 95th St
Komensky Ave & 55th St
Public Rack - Prairie Ave & Garfield Blvd S
Public Rack - Neva Ave & Grand Ave
Public Rack - Kedzie Ave & Archer Ave
Public Rack - 4810 Keeler Ave
Public Rack - Springfield & 79th
Public Rack - Kolin Ave & Archer Ave
Public Rack - Lynch & Elston
Mozart St & Jackson Blvd
Public Rack - Irving Park Rd & Menard Ave
Public Rack - Rutherford Ave & Belmont Ave
Public Rack - Prairie Ave & 47th St
Public Rack - Jensen Park
Lavergne Ave & Fullerton Ave
Roscoe & Harlem
Public Rack - Ford City Mall
Public Rack - 111th St - Morgan Park Metra
Public Rack - Kedzie Ave & 63rd St
Public Rack - Nagle Ave & Belmont Ave
Central Park Ave & Ohio St
Public Rack - Irving Park Rd & Austin Ave
Public Rack - Lawndale Ave & 23rd St
Hegewisch Metra Station
Public Rack - Fullerton Ave & Narragansett Ave
North Ave & New England Ave
Public Rack - Christiana & Lincoln
Public Rack - Cicero Ave & Le Moyne St - midblock
Kedzie Ave & 24th St
Archer (Damen) Ave & 37th St
Walsh Park
Aberdeen St & Jackson Blvd
Clark St & Armitage Ave
Sheridan Rd & Montrose Ave
Monticello Ave & Irving Park Rd
Halsted St & Roscoe St
Wentworth Ave & Cermak Rd*
Damen Ave & Thomas St (Augusta Blvd)
Mies van der Rohe Way & Chestnut St
Honore St & Division St
Sheffield Ave & Fullerton Ave
Emerald Ave & 28th St
Paulina St & 18th St
Rush St & Hubbard St
Public Rack - Langley Ave & 79th St
Public Rack - Lavergne & Lawrence
Public Rack - Cicero & Rosemont
Ashland Ave & Grace St
Ashland Ave & Wrightwood Ave
California Ave & Montrose Ave
Manor Ave & Leland Ave
Clark St & Wellington Ave
Dodge Ave & Church St
Clark St & Jarvis Ave
Public Rack - King Dr & 115th St
Western Ave & Grace St
Public Rack - Peterson Park
Public Rack - Nagel & Higgins
Public Rack - Milwaukee Ave & Haussen Ct
Damen Ave & Clybourn Ave
Calumet Ave & 71st St
Wabash Ave & Grand Ave
Desplaines St & Randolph St
Lincoln Ave & Roscoe St*
MLK Jr Dr & 63rd St
California Ave & 23rd Pl
Clark St & Schreiber Ave
Warren Park East
Greenwood Ave & 97th St
Public Rack - California Ave & Devon Ave - NW
Lake Park Ave & 47th St
Pulaski & Ann Lurie Pl
Pulaski Rd & 60th St
Public Rack - Cumberland & Catherine
Archer Ave & 43rd St
Kedzie Ave & Redfield Dr
Princeton Ave & Garfield Blvd
Wells St & Hubbard St
Kingsbury St & Erie St
Leavitt St & Division St
Sacramento Ave & 25th St
Prairie Ave & 43rd St
Broadway & Ridge Ave
Jefferson St & Monroe St
Halsted St & Archer Ave
Western Ave & Congress Pkwy
Ashland Ave & 50th St
Lincoln Ave & Winona St
Public Rack - Ashland Ave & 71st St
Tripp Ave & 31st St
Public Rack - Homan Ave & 26th St
Public Rack - Racine Ave & 74th St
Vincennes Ave & 75th St
Western Ave & Monroe St
Public Rack - Austin Blvd & North Ave
Halsted St & North Branch St
Kedzie Ave & George St
Kildare Ave & 26th St
Public Rack - Austin Ave & Wrightwood Ave
Public Rack - Spaulding Ave & Evergreen Ave
St. Louis & 71st St
Narragansett & McLean
Marquette Ave & 89th St
Public Rack - Emerald Ave & 45th St
Public Rack - Kedvale Ave & Addison St
Public Rack - Austin Branch Chicago Public Library
Public Rack - Central Ave & Corcoran Pl
Public Rack - Avers & Granville
Public Rack - Parkside & Archer
Homewood Ave & 115th St
Hale Ave & 107th St
Public Rack - Woodlawn Ave & 63rd St S
Public Rack - Marshfield Ave & 45th St
Kedzie Ave & 104th St
Lawndale Ave & 30th St
Damen Ave & 59th St
Public Rack - Washtenaw Ave & 63rd St
Public Rack - Newcastle Ave & Wellington Ave
Public Rack - Vincennes Ave & 95th St
Eggleston Ave & 92nd St
Public Rack - Kimball Ave & Carmen Ave
Public Rack - Western Ave & 92nd Pl
Public Rack - Kostner Ave & Diversey Ave
Public Rack - Lavergne Ave & Belle Plaine Ave
Laramie Ave & Madison St
Woodlawn & 103rd
Public Rack - Loomis Blvd & 47th St
